,1. 航天桥西,2. 航天桥北,3. 花园桥北,4. 紫竹桥,5. 万寿寺,6. 为公桥,7. 苏州桥南,8. 三义庙,9. 四通桥西,10. 四通桥东,11. 大钟寺,12. 地铁大钟寺站,13. 蓟门桥西,14. 北太平桥西,15. 马甸桥东,16. 安华桥西,17. 安贞桥西,18. 安贞桥东,19. 和平西桥,20. 和平东桥,21. 太阳宫桥,22. 西坝河,23. 静安庄东,24. 三元桥南,25. 亮马桥,26. 白家庄,27. 呼家楼南,28. 大北窑北,29. 大北窑南,30. 双井桥北,31. 双井桥南,32. 潘家园桥北,33. 十里河桥北,34. 十里河桥南,35. 方庄桥东,36. 方庄桥西,37. 刘家窑桥,38. 木樨园桥东,39. 木樨园桥西,40. 洋桥西,41. 草桥,42. 玉泉营桥西,43. 夏家胡同,44. 丽泽桥,45. 西局,46. 六里桥南,47. 六里桥北里,48. 公主坟南,49. 玉渊潭西门,50. 航天桥南,51. 航天桥西
15,0,0,0.019474642,0.021286251,0.019913285,0.03550045,0.02422983,0.017913532,0.017946345,0.02700142,0.036326512,0.023734141,0.022258153,0.029987731,0.027497793,0.017564075,0.026469715,0.024787542,0.03239,0.032605588,0.028451751,0.027218755,0.029938433,0.021763153,0.027607615,0.029512382,0.025267158,0.042190359,0.051825701,0.045071366,0.033179941,0.028224384,0.035184898,0.029644829,0.03849345,0.028247046,0.034766767,0.03871177,0.039022848,0.039375582,0.037418047,0.02570298,0.026208796,0.021726118,0.017601086,0.028268289,0.029623643,0.01812593,0.008150035,0,0
15,0,0,0.023320305,0.023054313,0.020716953,0.036916066,0.027561778,0.020401871,0.021479348,0.035446141,0.041295379,0.025851712,0.02595629,0.031006453,0.027156076,0.020597313,0.0262431,0.023659718,0.027962146,0.02336172,0.02250762,0.025199114,0.034585878,0.025413212,0.02907905,0.033955342,0.028847459,0.041289757,0.036715006,0.034271593,0.023123793,0.021537032,0.029082028,0.024160747,0.028584269,0.026955788,0.022581979,0.029764509,0.021003106,0.03240301,0.034059409,0.037996746,0.044737583,0.042349479,0.033727142,0.041261728,0.043203566,0.022672902,0.011334367,0,0
16,0,0,0.023825639,0.02932326,0.018464613,0.040880856,0.032762229,0.021085762,0.022532885,0.043917939,0.047211266,0.026734053,0.032964608,0.033245306,0.03534824,0.023773051,0.030103974,0.027991766,0.032511675,0.028437031,0.036114876,0.030299749,0.039590308,0.030075956,0.032409172,0.028929864,0.027195072,0.051898974,0.058586054,0.045668667,0.036772972,0.037027663,0.042480897,0.031186482,0.03236295,0.036902014,0.037382995,0.026053015,0.033636698,0.024486641,0.023839081,0.020153416,0.023657594,0.027870467,0.021442983,0.02593615,0.030857764,0.02531031,0.028292606,0,0
16,0,0,0.027099387,0.036567034,0.026759417,0.046860161,0.045857521,0.033376232,0.030563332,0.058103885,0.050270926,0.032353719,0.041071745,0.040978783,0.044959434,0.033752474,0.028922541,0.030882785,0.041196597,0.032518551,0.0503439,0.041401979,0.039036107,0.031651699,0.039452782,0.052006222,0.035532486,0.054709298,0.038780491,0.035261812,0.033165899,0.035111315,0.038377915,0.037748887,0.041344136,0.036732295,0.036720704,0.029031641,0.027105848,0.030676127,0.034348267,0.036852395,0.037811079,0.027578757,0.026966376,0.028225118,0.027413921,0.027914056,0.009804327,0,0
17,0,0,0.038666404,0.041081966,0.031593163,0.059063174,0.058774533,0.036417631,0.039596581,0.057721868,0.066157345,0.047615995,0.051142252,0.059570175,0.050433467,0.040922794,0.032712398,0.039140605,0.058383677,0.035142201,0.042336344,0.037516398,0.068843886,0.037846919,0.055762725,0.048362789,0.036818125,0.058097511,0.061040713,0.045160741,0.033353811,0.0393281,0.045622758,0.027821947,0.039212192,0.042349322,0.037721064,0.036425604,0.033420909,0.034248552,0.036996303,0.033110845,0.028292532,0.027109053,0.022058764,0.039320079,0.03291697,0.020788217,0.009395413,0,0
17,0,0,0.034757737,0.04855674,0.033110589,0.057402671,0.057211218,0.033734744,0.040900804,0.067254824,0.063056273,0.047082856,0.046089235,0.052121684,0.058269042,0.036689829,0.042824133,0.046134432,0.054914888,0.039614187,0.048620872,0.053136202,0.063980575,0.047190244,0.058921347,0.061351105,0.034229224,0.092836321,0.033253126,0.041833786,0.030444159,0.036864517,0.042286763,0.039397957,0.037388856,0.033975024,0.036568844,0.028664233,0.034447566,0.036804891,0.025908304,0.036121399,0.044985828,0.031883812,0.019372708,0.037821049,0.038968853,0.025205839,0.01677642,0,0
18,0,0,0.029403658,0.045067402,0.03993505,0.055792143,0.06827169,0.046532605,0.048412384,0.064718656,0.068245104,0.053855378,0.056607791,0.055605711,0.062510459,0.038923813,0.051828844,0.047872487,0.051765489,0.044790773,0.060399779,0.05473578,0.067596974,0.052443586,0.062792093,0.061223261,0.040502262,0.091136676,0.062371644,0.053627103,0.026930762,0.043635704,0.059352008,0.042519495,0.035690713,0.037009941,0.034551086,0.036024029,0.027247351,0.030211249,0.052570646,0.04219647,0.043182637,0.037686487,0.030345001,0.039877213,0.037753016,0.029471657,0.011470667,0,0
18,0,0,0.023402854,0.032955213,0.02815443,0.053423376,0.075225448,0.031190687,0.030160087,0.057566094,0.063360193,0.048756036,0.046774649,0.062634016,0.059575545,0.038322962,0.04902856,0.053378756,0.061836236,0.055725864,0.065409597,0.063217114,0.072457899,0.043657758,0.049149499,0.069973393,0.052063758,0.078314366,0.065466409,0.058703256,0.035473535,0.029877365,0.03915292,0.049131375,0.059807865,0.042962666,0.043581689,0.048060812,0.045308492,0.058103688,0.043214608,0.037524074,0.041594679,0.028363672,0.030328483,0.027750194,0.042176712,0.043377295,0.026863675,0,0
19,0,0,0.018175579,0.021245094,0.016414976,0.033520525,0.039132042,0.024265045,0.022273553,0.049753169,0.049180197,0.037179657,0.041543866,0.046807578,0.045919443,0.036181477,0.039580765,0.052999326,0.053527551,0.036211779,0.046250018,0.05576497,0.072688726,0.04764247,0.066349308,0.073112712,0.067633144,0.095782956,0.07541061,0.084696917,0.040103007,0.049779306,0.055794058,0.052410335,0.05785815,0.040583635,0.045902783,0.03497079,0.034480986,0.035996057,0.036932758,0.041037075,0.052671414,0.036680809,0.035776144,0.04444499,0.03926142,0.032887402,0.033306136,0,0
19,0,0,0.015887461,0.023201639,0.014482781,0.029381117,0.030115147,0.016604577,0.017851685,0.029662552,0.029710749,0.024935169,0.024467468,0.026578385,0.026155508,0.019447152,0.022692832,0.029146788,0.035654553,0.028354637,0.045089879,0.044726857,0.060210549,0.041950591,0.045942333,0.059154128,0.044221719,0.087900124,0.08048976,0.097088742,0.052701203,0.06464433,0.070039273,0.061271971,0.085074901,0.058669561,0.075830632,0.073009315,0.07273355,0.076872876,0.065980835,0.058844448,0.067853935,0.058048778,0.045630793,0.048515934,0.042205361,0.030206831,0.021979989,0,0
