,发车时间,1. 航天桥西,2. 航天桥北,3. 花园桥北,4. 紫竹桥,5. 万寿寺,6. 为公桥,7. 苏州桥南,8. 三义庙,9. 四通桥西,10. 四通桥东,11. 大钟寺,12. 地铁大钟寺站,13. 蓟门桥西,14. 北太平桥西,15. 马甸桥东,16. 安华桥西,17. 安贞桥西,18. 安贞桥东,19. 和平西桥,20. 和平东桥,21. 太阳宫桥,22. 西坝河,23. 静安庄东,24. 三元桥南,25. 亮马桥,26. 白家庄,27. 呼家楼南,28. 大北窑北,29. 大北窑南,30. 双井桥北,31. 双井桥南,32. 潘家园桥北,33. 十里河桥北,34. 十里河桥南,35. 方庄桥东,36. 方庄桥西,37. 刘家窑桥,38. 木樨园桥东,39. 木樨园桥西,40. 洋桥西,41. 草桥,42. 玉泉营桥西,43. 夏家胡同,44. 丽泽桥,45. 西局,46. 六里桥南,47. 六里桥北里,48. 公主坟南,49. 玉渊潭西门,50. 航天桥南,51. 航天桥西
103,11:06:15,,,8.94,10.0,7.88,12.08,5.08,6.04,,2.23,8.66,5.0,,14.85,11.5,7.06,13.08,8.79,6.24,,5.64,7.6,3.3,6.92,10.3,7.58,1.89,3.18,3.95,7.1,3.13,12.19,12.84,,,,,,,,,,,,,,,,,,
104,17:38:12,,,8.63,12.84,8.76,8.08,3.7,4.88,,3.56,5.04,8.04,,13.41,12.23,4.15,5.13,8.31,5.0,,4.79,8.05,2.85,5.19,10.54,1.78,0.63,5.3,1.36,4.54,2.85,7.76,9.96,5.96,11.37,10.14,15.46,12.12,12.17,14.09,14.04,12.21,11.11,12.97,10.06,13.58,14.29,10.99,12.72,6.91,2.64
105,05:47:12,,,7.51,11.83,9.92,,4.12,7.87,,8.08,6.88,3.94,,12.16,10.26,8.56,11.08,8.43,3.73,3.1,6.42,8.92,3.07,9.37,10.9,10.25,3.15,4.67,3.63,6.81,3.26,10.1,9.0,4.09,9.3,7.37,9.31,8.82,9.24,12.68,12.25,10.27,12.09,11.09,11.56,8.93,4.21,5.43,5.98,4.48,
106,08:34:09,,,5.13,7.12,7.41,4.01,9.06,6.64,,2.46,9.18,4.84,,12.45,9.78,4.71,6.24,4.71,2.8,,7.6,7.07,2.83,4.69,9.4,5.0,1.29,3.62,2.96,6.74,2.09,10.55,9.57,3.97,8.45,7.78,12.87,10.96,11.53,9.52,12.93,11.01,10.17,11.92,8.63,9.02,3.0,5.49,9.35,1.56,0.54
107,11:30:12,,,8.74,8.03,,9.94,7.31,6.44,,3.01,7.21,7.26,,14.67,10.72,6.05,7.93,6.96,3.63,,6.13,8.68,3.92,7.15,10.3,8.61,2.55,2.42,3.11,4.54,6.08,9.41,10.61,2.85,11.68,9.54,12.55,12.86,12.39,9.49,12.93,11.99,10.17,11.45,8.54,12.5,9.38,5.24,8.39,2.53,1.56
108,15:12:39,,,10.0,9.44,9.73,9.16,8.7,4.03,,1.99,6.18,8.3,,13.73,10.86,6.78,6.09,5.57,2.49,,5.26,7.91,3.67,4.33,4.34,5.0,1.59,2.39,2.48,5.84,9.12,7.31,5.39,,10.28,10.86,13.41,15.51,15.9,11.44,14.8,5.09,11.91,12.47,10.06,13.54,10.26,8.12,8.04,3.1,1.04
109,18:38:31,,,9.34,,,5.38,5.8,4.43,,0.96,8.26,3.38,,10.54,10.86,5.94,4.76,2.68,4.7,1.67,4.28,8.17,3.2,7.15,9.61,8.94,1.94,2.65,6.91,5.55,2.71,8.44,6.24,1.83,10.8,6.21,11.07,12.16,11.36,9.64,11.09,10.47,9.45,10.71,11.56,13.3,10.86,10.43,11.02,3.21,3.14
110,05:39:12,,,9.01,,7.45,4.93,3.71,7.09,,1.61,5.21,3.94,,12.74,9.96,,9.24,8.79,3.42,2.5,4.68,6.95,7.92,6.91,9.61,11.58,2.58,2.11,,8.12,5.42,9.84,10.12,1.69,11.74,8.3,10.67,11.51,12.17,11.94,12.42,10.86,8.93,10.02,12.92,13.3,4.4,5.3,7.65,2.01,
111,08:27:54,,,8.5,8.22,5.64,4.83,4.01,4.31,,4.3,9.12,4.05,,11.14,9.2,6.05,3.96,7.17,2.42,,3.59,8.17,3.35,6.36,8.59,8.81,2.26,4.33,3.63,6.53,6.84,9.84,10.12,1.75,10.97,8.84,11.07,12.62,12.24,12.44,11.14,9.95,9.79,10.33,8.78,10.02,3.85,2.13,6.74,4.22,
112,14:39:57,,,9.2,10.0,6.4,4.7,5.44,5.97,,2.2,10.56,8.54,,11.28,11.64,8.08,9.76,10.78,2.77,1.25,5.14,6.98,4.88,7.03,4.78,5.0,2.35,3.26,3.2,5.36,2.28,9.84,6.43,1.86,10.12,10.38,8.13,9.73,9.69,10.12,12.42,10.27,5.38,7.85,9.58,8.48,13.13,11.8,12.89,2.51,
113,18:09:41,,,9.03,10.31,,8.3,4.95,5.9,,6.02,4.53,3.28,,11.0,10.82,,7.79,8.04,2.5,,3.9,9.4,3.02,5.53,5.99,2.43,1.76,2.52,3.45,,5.56,10.4,9.86,1.07,11.55,8.84,12.28,14.43,14.08,11.7,13.29,12.14,11.53,12.81,10.52,,11.22,11.76,12.79,3.42,
114,21:48:32,,,9.96,10.79,11.19,8.0,,6.18,,5.75,10.32,8.04,,10.71,10.42,8.56,10.56,10.78,5.74,,4.68,7.75,6.6,10.38,10.9,11.23,3.62,5.43,2.48,4.04,2.35,8.79,8.72,1.86,10.97,8.84,12.55,11.76,12.08,9.44,12.59,11.61,9.6,12.81,11.43,13.8,9.57,9.94,10.64,6.49,3.55
115,06:58:07,,,8.09,9.66,4.53,9.71,,14.7,,14.84,15.02,,,12.59,10.96,8.8,10.51,11.06,3.9,,6.2,8.68,2.84,7.93,9.08,10.4,1.8,7.46,4.03,7.3,2.05,10.69,9.43,2.19,9.6,8.04,10.84,8.17,11.17,8.29,12.85,7.93,9.34,14.98,7.71,11.72,13.82,6.11,5.83,1.84,0.13
116,15:02:54,,,8.87,9.88,9.27,10.2,,6.79,,5.39,4.64,5.54,,11.28,10.52,6.5,6.51,4.99,3.57,1.28,4.9,7.07,4.95,4.04,3.4,5.0,1.67,4.53,2.08,5.11,3.02,9.27,7.43,1.79,10.28,12.02,11.88,10.58,10.99,13.76,14.11,10.03,9.45,12.45,11.0,10.96,10.57,7.93,6.67,4.05,
