,1. 航天桥西,2. 航天桥北,3. 花园桥北,4. 紫竹桥,5. 万寿寺,6. 为公桥,7. 苏州桥南,8. 三义庙,9. 四通桥西,10. 四通桥东,11. 大钟寺,12. 地铁大钟寺站,13. 蓟门桥西,14. 北太平桥西,15. 马甸桥东,16. 安华桥西,17. 安贞桥西,18. 安贞桥东,19. 和平西桥,20. 和平东桥,21. 太阳宫桥,22. 西坝河,23. 静安庄东,24. 三元桥南,25. 亮马桥,26. 白家庄,27. 呼家楼南,28. 大北窑北,29. 大北窑南,30. 双井桥北,31. 双井桥南,32. 潘家园桥北,33. 十里河桥北,34. 十里河桥南,35. 方庄桥东,36. 方庄桥西,37. 刘家窑桥,38. 木樨园桥东,39. 木樨园桥西,40. 洋桥西,41. 草桥,42. 玉泉营桥西,43. 夏家胡同,44. 丽泽桥,45. 西局,46. 六里桥南,47. 六里桥北里,48. 公主坟南,49. 玉渊潭西门,50. 航天桥南,51. 航天桥西
18,0,0,0.030982272,0.053903351,0.035515097,0.085652315,0.059237014,0.04298016,0.044054704,0.055326694,0.10162502,0.034471526,0.038420296,0.055059314,0.050180407,0.022579186,0.071813488,0.071870829,0.049566305,0.074270268,0.058747368,0.058053957,0.086704126,0.049302401,0.061157996,0.053669218,0.034447079,0.054550122,0.122435126,0.046634048,0.027859776,0.082339578,0.046208054,0.080324044,0.021922646,0.072925375,0.0876635,0.097290075,0.018224895,0.009112448,0.173611111,0.097741689,0.114241918,0.048049574,0.064755205,0.059206532,0.071301726,0.027641712,0.015805785,0,0
18.5,0,0,0.01806576,0.043818208,0.024261503,0.064856872,0.065916034,0.032322411,0.025547097,0.072080536,0.089242927,0.026512342,0.042959126,0.045217394,0.069247281,0.026212735,0.072689488,0.092211053,0.082483184,0.051176691,0.078768283,0.060480753,0.031781197,0.019142968,0.017361111,0.060864155,0.059363802,0.096960186,0.072466383,0.04599794,0.042412073,0.043070523,0.03536109,0.06094069,0.025430251,0.03460888,0.03035288,0.055035424,0.030865316,0.051166977,0.036228278,0.018267822,0.032802853,0.042528027,0.0264907,0.034253443,0.048813309,0.091794887,0.009997999,0,0
19,0,0,0.025623325,0.024321559,0.021087569,0.035211797,0.035537656,0.020566202,0.020510979,0.034172781,0.057264909,0.051714783,0.03400765,0.06879273,0.036397083,0.037896343,0.073110432,0.042747912,0.04612094,0.03416881,0.051460496,0.047749198,0.055211659,0.034517536,0.039526418,0.05232651,0.042789792,0.032785725,0.118421457,0.053483999,0.056235823,0.105515895,0.089320766,0.101994604,0.08192126,0.059224769,0.052644104,0.040743296,0.02968645,0.03513655,0.051079643,0.036356934,0.038651838,0.02432742,0.03370286,0.051259523,0.043134829,0.030226117,0.013271953,0,0
19.5,0,0,0.017997217,0.015244422,0.011809109,0.054169978,0.026951245,0.021473836,0.03515386,0.030396884,0.049364974,0.025668194,0.022285586,0.026600216,0.035050917,0.022162817,0.031375835,0.037586762,0.019052951,0.019145998,0.027914754,0.028784709,0.0622053,0.037515729,0.07199447,0.054705311,0.073288209,0.080217342,0.10605608,0.103110144,0.03728814,0.067225524,0.06867964,0.063883103,0.068821865,0.04471978,0.086453613,0.105004546,0.074380297,0.08176253,0.096927656,0.043122696,0.066797066,0.057667721,0.031312106,0.040912423,0.045327629,0.032513682,0.014382241,0,0
20,0,0,0.010956252,0.017344445,0.016618356,0.03353515,0.024287628,0.013666523,0.01259824,0.018771691,0.042211879,0.007762641,0.018756299,0.019794141,0.017044818,0.022860029,0.025909663,0.016871438,0.029686007,0.02060351,0.025238748,0.025238748,0.024152119,0.022484002,0.018553983,0.04590995,0.023341611,0.060921824,0.053339196,0.055273982,0.032965401,0.032368586,0.047202214,0.104948682,0.049448664,0.05919891,0.074986084,0.076477898,0.059340522,0.051688782,0.059894578,0.037996555,0.046786206,0.036836398,0.050911564,0.051165145,0.056998641,0.051342129,0.026546835,0,0
20.5,0,0,0.013900268,0.019605828,0.014976142,0.026513007,0.028818782,0.020624632,0.011829928,0.020790273,0.047423696,0.009806168,0.018177486,0.021486902,0.01671994,0.013427058,0.012589989,0.022232096,0.03166023,0.023726587,0.010852376,0.024504382,0.022446242,0.013339244,0.009478525,0.0195242,0.04217919,0.044685147,0.102475234,0.026619243,0.034413568,0.025196643,0.026998846,0.042084844,0.037254645,0.042949637,0.053757841,0.066552476,0.043215165,0.044276814,0.049761356,0.05227759,0.070360181,0.072443202,0.038089726,0.048161125,0.046951972,0.045617145,0.024465462,0,0
21,0,0,0.019236113,0.020526392,0.015424165,0.020980103,0.034677372,0.011052417,0.014542463,0.016664953,0.042526643,0.007697232,0.019297697,0.019645362,0.017193812,0.011331019,0.015411803,0.017193812,0.018682677,0.030028719,0.012367582,0.018785094,0.02789031,0.014085612,0.027863567,0.025645514,0.022668328,0.079130917,0.034064766,0.013494555,0.018829112,0.014322222,0.014677392,0.036374806,0.021855264,0.026206742,0.026756461,0.019337215,0.02804452,0.033510739,0.02590276,0.017416672,0.027275021,0.029097619,0.03923287,0.031586255,0.060856459,0.043150364,0.026159315,0,0
21.5,0,0,0.012238423,0.012040692,0.009176857,0.017637555,0.016050626,0.013697744,0.008434548,0.017899469,0.075917347,0.008288212,0.012259171,0.016452781,0.014968569,0.015054679,0.018270113,0.011139614,0.018379595,0.013224125,0.010764875,0.013955528,0.015304165,0.019380398,0.016229744,0.020866852,0.014997967,0.039075196,0.064598065,0.027876525,0.033436255,0.018623659,0.028971357,0.046011366,0.020253335,0.027588334,0.024111415,0.019808414,0.022512084,0.025794143,0.025697121,0.020375366,0.019960108,0.019323853,0.014334557,0.020562758,0.01966308,0.016124083,0.008393418,0,0
22,0,0,0.018287614,0.019365472,0.010313531,0.017891871,0.021547933,0.011368804,0.010424637,0.028917021,0.037161454,0.009252544,0.021074406,0.016832949,0.018991814,0.011655514,0.01185968,0.012468107,0.018465445,0.011895739,0.011998786,0.016194824,0.0143996,0.009712648,0.013796653,0.018071316,0.026415083,0.026613883,0.024893086,0.018564467,0.013106536,0.013106536,0.020737093,0.03432545,0.021483405,0.027052442,0.027647713,0.023110613,0.024851239,0.025630512,0.025646864,0.022854588,0.031979506,0.029500533,0.020946105,0.028593453,0.044096351,0.029000834,0.009718625,0,0
22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010642827,0.010642827,0.020008003,0.010004002,0.010004002,0.019425019,0.00971251,0.020461748,0.033120749,0.020194885,0.027756025,0.027756025,0.021334976,0.013916192,0.014307113,0.018424901,0.022298191,0.012959512,0.013146539,0.013507399,0.009352805,0.021394631,0.021186473,0.010855374,0.010697315,0.024900697,0.019529261,0.013158854,0.026082132,0.031424485,0.019468884,0.015259829,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008067118,0.045126354,0.008267196,0.008267196,0.00847745,0.008698678,0.023466576,0.01861934,0.01861934,0.016735289,0.01861934,0.019169482,0.018936573,0.011930879,0.017391779,0.023378203,0.010727872,0.01298143,0.014561011,0.01389467,0.009438172,0.00772814,0,0
23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010004002,0.010004002,0.010313531,0.019846092,0.010125557,0.019654088,0.019201229,0.013958163,0.010155206,0,0
,,,0.02400,0.03104,0.02256,0.03888,0.03494,0.02452,0.02380,0.03555,0.06728,0.02096,0.03466,0.03895,0.03971,0.02906,0.03757,0.03754,0.04044,0.03333,0.04242,0.03715,0.04202,0.03419,0.03422,0.04214,0.03527,0.04802,0.06556,0.03740,0.03359,0.03488,0.03496,0.05238,0.03781,0.03901,0.04259,0.04257,0.03759,0.04035,0.04162,0.03498,0.04187,0.03342,0.03086,0.04056,0.04520,0.03198,0.01516,,
,,,0.0240,0.0310,0.0226,0.0389,0.0349,0.0245,0.0238,0.0355,0.0673,0.0210,0.0347,0.0390,0.0397,0.0291,0.0376,0.0375,0.0404,0.0333,0.0424,0.0372,0.0420,0.0342,0.0342,0.0421,0.0353,0.0480,0.0656,0.0374,0.0336,0.0349,0.0350,0.0524,0.0378,0.0390,0.0426,0.0426,0.0376,0.0404,0.0416,0.0350,0.0419,0.0334,0.0309,0.0406,0.0452,0.0320,0.0152,,
