,AtStationControl,InterStationControl,JointControl,MinimumHeadway(Baseline_1),QuadraticEberlein(Baseline_2),He(Baseline_3)
71,189.1840857,188.4534828,189.0713164,194.834375,209.4026343,193.4729345
72,188.8794547,186.6205232,186.8131099,192.261496,216.7205538,195.9124914
73,187.5137189,188.1226383,187.6485222,193.8951942,216.1676607,195.8178306
74,189.4956727,188.1700557,188.3688594,194.6153081,219.2722188,194.3626247
75,188.4182325,187.7465908,186.499169,195.4098616,211.5358902,199.9889734
76,188.2328546,187.5006867,187.2298346,193.8758879,202.8335453,194.7488233
77,187.0984543,186.8653608,188.7165033,194.3178353,203.080607,197.2520857
78,187.7949298,187.5678871,186.3188942,195.4970901,211.3032445,195.1050893
79,187.8394814,187.4479433,187.9630096,194.5092463,217.1363536,194.0185355
80,189.9659695,187.3286672,185.5322726,195.1587663,222.3851953,194.4246625
81,188.3570515,187.5384117,188.7443111,195.3284585,218.6644034,199.7184718
82,189.0084812,187.2725026,187.4077303,192.0016934,211.0154786,196.4369888
83,189.4530652,187.9859946,186.6555193,192.8911745,217.5397288,196.6672708
84,189.8682429,189.4827576,187.6931968,195.2765429,215.5736984,195.6523671
85,187.7777344,188.3855292,187.9409837,195.8976749,221.4702704,199.3637223
86,190.0335574,189.1972942,188.8067622,193.6267469,197.8549533,194.9337499
87,188.9116376,187.3766995,187.2037924,193.0817025,204.4767796,200.7304114
88,187.5633775,185.6304403,188.8535484,192.9601997,212.4069486,200.4772759
89,187.2477201,187.945428,186.4190771,198.708961,215.8842829,194.7704359
90,189.1718074,187.9879357,185.6867942,192.7690942,215.3792001,197.7243276
91,187.9518676,188.801764,188.3748561,192.2804512,211.5354452,194.9492301
92,187.4662312,187.0058772,187.4112389,194.2563656,204.995473,194.1221408
93,188.1334428,187.4786483,188.0930448,194.9231462,229.5431418,200.8286022
94,189.3941049,186.8881943,188.2503426,193.1670044,221.602313,196.7710242
95,189.3805072,187.0888708,186.990734,194.1301404,219.9644634,194.8361004
96,189.1793465,186.3109712,186.0537732,193.2335396,216.2934207,196.8757303
97,189.8080831,188.2074676,187.9094379,191.1833744,208.2648361,199.3244887
98,190.0934507,187.7415846,188.4960878,191.2353579,219.1442783,197.9459324
99,186.313531,187.1889848,188.1904587,193.301708,210.9979997,196.3643624
100,188.8435096,187.5844917,187.4386088,196.0553157,223.7000442,196.8356251
AVG,188.4917741,187.5084576,187.5119274,193.6643034,213.1878177,196.1550549
Worst,191.0134918,190.0727068,189.7225493,198.708961,229.5431418,201.1578583
